YEAR,JOBTITLE,CATEGORY,CURRENCY,SALARY,RESIDENCE,EXPERIENCELEVEL,COMPANYLOCATION,COMPANYSIZE
2023,DATA DEVOPS ENGINEER,data engineering,eur,88000,GERMANY,mid-level,germany,L
2023,DATA ARCHITECT,data architecture and modeling,usd,186000,UNITED STATES,senior,united states,M
2023,DATA ARCHITECT,data architecture and modeling,usd,81800,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,212000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,93300,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,130000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,100000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING RESEARCHER,machine learning and ai,usd,224400,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING RESEARCHER,machine learning and ai,usd,138700,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,210000,UNITED STATES,executive,united states,M
2023,DATA ENGINEER,data engineering,usd,168000,UNITED STATES,executive,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,224400,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,138700,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,gbp,35000,UNITED KINGDOM,mid-level,united kingdom,M
2023,DATA SCIENTIST,data science and research,gbp,30000,UNITED KINGDOM,mid-level,united kingdom,M
2023,DATA ANALYST,data analysis,usd,95000,UNITED STATES,entry-level,united states,M
2023,DATA ANALYST,data analysis,usd,75000,UNITED STATES,entry-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,300000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,234000,UNITED STATES,senior,united states,M
2023,ANALYTICS ENGINEER,leadership and management,usd,140000,UNITED STATES,mid-level,united states,M
2023,ANALYTICS ENGINEER,leadership and management,usd,120000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,204500,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,142200,UNITED STATES,mid-level,united states,M
2023,DATA ANALYST,data analysis,usd,155000,UNITED STATES,mid-level,united states,M
2023,DATA ANALYST,data analysis,usd,110000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,266500,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,152000,UNITED STATES,senior,united states,M
2023,APPLIED SCIENTIST,data science and research,usd,222200,UNITED STATES,mid-level,united states,L
2023,APPLIED SCIENTIST,data science and research,usd,136000,UNITED STATES,mid-level,united states,L
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,273400,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,182200,UNITED STATES,senior,united states,M
2023,BI DEVELOPER,bi and visualization,usd,167500,UNITED STATES,senior,united states,M
2023,BI DEVELOPER,bi and visualization,usd,106500,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,185900,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,129300,UNITED STATES,senior,united states,M
2023,BUSINESS INTELLIGENCE ENGINEER,bi and visualization,usd,185000,UNITED STATES,mid-level,united states,L
2023,BUSINESS INTELLIGENCE ENGINEER,bi and visualization,usd,79600,UNITED STATES,mid-level,united states,L
2023,DATA ENGINEER,data engineering,usd,122000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,94500,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,247300,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,139700,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,176000,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,100000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,204500,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,142200,UNITED STATES,senior,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,247600,UNITED STATES,senior,united states,L
2023,RESEARCH SCIENTIST,data science and research,usd,127300,UNITED STATES,senior,united states,L
